,Architecture,Source Dataset,Target Dataset,Oracle
371,diracnet18v2,Unknown,intel,0.93
372,diracnet34v2,Unknown,intel,0.9283333333333332
373,densenet121,Unknown,intel,0.939
374,espnetv2_wd2,Unknown,intel,0.932
375,hrnet_w18_small_v1,Unknown,intel,0.938
376,hrnetv2_w18,Unknown,intel,0.938
377,ror3_56_cifar10,Unknown,intel,0.8966666666666666
378,ror3_56_cifar100,Unknown,intel,0.8996666666666666
379,ror3_56_svhn,Unknown,intel,0.8873333333333333
380,condensenet74_c4_g4,Unknown,intel,0.94
381,condensenet74_c8_g8,Unknown,intel,0.9393333333333334
382,shakeshakeresnet20_2x16d_cifar10,Unknown,intel,0.891
383,shakeshakeresnet20_2x16d_cifar100,Unknown,intel,0.902
384,shakeshakeresnet20_2x16d_svhn,Unknown,intel,0.8776666666666667
385,peleenet,Unknown,intel,0.933
386,wrn50_2,Unknown,intel,0.9406666666666668
387,espnetv2_w1,Unknown,intel,0.9353333333333332
388,vovnet27s,Unknown,intel,0.9336666666666666
389,vovnet57,Unknown,intel,0.936
390,selecsls60,Unknown,intel,0.941
391,hardnet39ds,Unknown,intel,0.9306666666666666
392,hardnet68,Unknown,intel,0.9413333333333334
393,sqnxt23_w1,Unknown,intel,0.9246666666666666
394,sqnxt23_w2,Unknown,intel,0.9353333333333332
395,shufflenet_g1_w1,Unknown,intel,0.934
396,shufflenet_g4_w1,Unknown,intel,0.9316666666666666
397,menet108_8x1_g3,Unknown,intel,0.929
398,menet160_8x1_g8,Unknown,intel,0.931
399,mobilenet_w1,Unknown,intel,0.9366666666666666
400,mobilenet_w3d4,Unknown,intel,0.934
401,fdmobilenet_w1,Unknown,intel,0.927
402,igcv3_w1,Unknown,intel,0.939
403,igcv3_wd4,Unknown,intel,0.9256666666666666
404,mnasnet_b1,Unknown,intel,0.9363333333333334
405,darts,Unknown,intel,0.939
406,proxylessnas_gpu,Unknown,intel,0.9363333333333334
407,fbnet_cb,Unknown,intel,0.938
408,xception,Unknown,intel,0.9453333333333334
409,inceptionv3,Unknown,intel,0.933
410,inceptionv4,Unknown,intel,0.938
411,nasnet_4a1056,Unknown,intel,0.9406666666666668
412,spnasnet,Unknown,intel,0.937
413,efficientnet_b0,Unknown,intel,0.9376666666666666
414,efficientnet_b1,Unknown,intel,0.9406666666666668
415,efficientnet_b0b,Unknown,intel,0.9403333333333334
416,efficientnet_edge_large_b,Unknown,intel,0.9403333333333334
417,mixnet_l,Unknown,intel,0.94
418,mobilenet_w1_cub,Unknown,intel,0.9163333333333332
419,proxylessnas_mobile_cub,Unknown,intel,0.923
420,bninception,Unknown,weather,0.9262235208181154
421,bam_resnet50,Unknown,weather,0.9240321402483564
422,alexnet,Unknown,weather,0.8991964937910883
423,zfnet,Unknown,weather,0.902118334550767
424,vgg19,Unknown,weather,0.9174579985390796
425,resnet10,Unknown,weather,0.9174579985390796
426,resnet18,Unknown,weather,0.9094229364499636
427,resnet20_cifar10,Unknown,weather,0.8210372534696859
428,resnet20_cifar100,Unknown,weather,0.8414901387874361
429,resnet20_svhn,Unknown,weather,0.7823228634039445
430,resnet50,Unknown,weather,0.9254930606281958
431,resnet56_cifar10,Unknown,weather,0.8327246165084002
432,resnet56_cifar100,Unknown,weather,0.8560993425858291
433,resnet56_svhn,Unknown,weather,0.775018261504748
434,resnet101,Unknown,weather,0.9298758217677136
435,preresnet10,Unknown,weather,0.912344777209642
436,preresnet18,Unknown,weather,0.9130752373995618
437,preresnet20_cifar10,Unknown,weather,0.8363769174579986
438,preresnet20_cifar100,Unknown,weather,0.845872899926954
439,preresnet20_svhn,Unknown,weather,0.7830533235938641
440,preresnet50,Unknown,weather,0.91672753834916
441,preresnet56_cifar10,Unknown,weather,0.8371073776479182
442,preresnet56_cifar100,Unknown,weather,0.8385682980277575
443,preresnet56_svhn,Unknown,weather,0.7983929875821768
444,preresnet101,Unknown,weather,0.9284149013878744
445,resnext14_16x4d,Unknown,weather,0.9240321402483564
446,resnext14_32x2d,Unknown,weather,0.9130752373995618
447,resnext14_32x4d,Unknown,weather,0.9284149013878744
448,seresnet10,Unknown,weather,0.9196493791088386
449,seresnet18,Unknown,weather,0.9159970781592404
450,seresnet50,Unknown,weather,0.9342585829072316
451,seresnet101,Unknown,weather,0.924762600438276
452,seresnet56_cifar10,Unknown,weather,0.8173849525200877
453,seresnet56_cifar100,Unknown,weather,0.8480642804967129
454,seresnet56_svhn,Unknown,weather,0.7888970051132214
455,sepreresnet10,Unknown,weather,0.918918918918919
456,sepreresnet18,Unknown,weather,0.9181884587289992
457,seresnext50_32x4d,Unknown,weather,0.9342585829072316
458,senet16,Unknown,weather,0.933528122717312
459,senet28,Unknown,weather,0.9284149013878744
460,resnesta18,Unknown,weather,0.9276844411979548
461,ibn_resnet50,Unknown,weather,0.9276844411979548
462,ibn_densenet121,Unknown,weather,0.9262235208181154
463,airnet50_1x64d_r2,Unknown,weather,0.9240321402483564
464,airnext50_32x4d_r2,Unknown,weather,0.9240321402483564
465,cbam_resnet50,Unknown,weather,0.93718042366691
466,scnet50,Unknown,weather,0.9284149013878744
467,scnet101,Unknown,weather,0.9298758217677136
468,regnetx002,Unknown,weather,0.9138056975894814
469,regnetx004,Unknown,weather,0.9152666179693206
470,regnetx006,Unknown,weather,0.9254930606281958
471,regnetx008,Unknown,weather,0.9276844411979548
